FIA.Code,Adj.Factor
58,0.352
59,0.352
60,0.352
62,0.352
63,0.352
65,0.352
66,0.352
69,0.352
106,0.352
13,0.352
134,0.352
140,0.352
141,0.352
143,0.352
745,0.378
747,0.378
748,0.378
749,0.378
211,0.41
116,0.434
122,0.434
135,0.434
92,0.442
93,0.442
96,0.442
41,0.458
42,0.458
50,0.458
51,0.458
52,0.458
53,0.458
54,0.458
55,0.458
64,0.458
72,0.458
101,0.458
102,0.458
103,0.458
104,0.458
109,0.458
112,0.458
113,0.458
114,0.458
118,0.458
120,0.458
124,0.458
127,0.458
137,0.458
138,0.458
139,0.458
142,0.458
201,0.458
212,0.458
231,0.458
251,0.458
264,0.458
299,0.458
98,0.436
202,0.526
117,0.557
119,0.574
81,0.588
11,0.602
14,0.602
15,0.602
17,0.602
18,0.602
19,0.602
20,0.602
21,0.602
22,0.602
10,0.608
12,0.608
90,0.608
94,0.608
95,0.608
97,0.608
260,0.628
261,0.628
262,0.628
16,0.631
40,0.631
43,0.631
56,0.631
57,0.631
61,0.631
67,0.631
68,0.631
70,0.631
71,0.631
91,0.631
100,0.631
136,0.631
144,0.631
200,0.631
220,0.631
230,0.631
232,0.631
240,0.631
241,0.631
252,0.631
531,0.632
105,0.643
300,0.651
321,0.651
322,0.651
475,0.651
755,0.651
756,0.651
757,0.651
758,0.651
803,0.651
810,0.651
814,0.651
829,0.651
843,0.651
846,0.651
847,0.651
850,0.651
81,0.651
902,0.651
990,0.651
263,0.671
950,0.672
951,0.672
952,0.672
953,0.672
740,0.691
741,0.691
742,0.691
743,0.691
746,0.691
752,0.691
753,0.691
242,0.705
822,0.722
832,0.722
835,0.722
836,0.722
838,0.722
840,0.722
841,0.722
844,0.722
125,0.729
129,0.729
400,0.744
401,0.744
402,0.744
403,0.744
404,0.744
405,0.744
406,0.744
407,0.744
408,0.744
409,0.744
410,0.744
411,0.744
412,0.744
413,0.744
316,0.744
317,0.744
611,0.749
351,0.75
110,0.763
131,0.763
802,0.77
804,0.77
808,0.77
823,0.77
825,0.77
826,0.77
806,0.78
809,0.78
812,0.78
817,0.78
820,0.78
824,0.78
827,0.78
828,0.78
830,0.78
831,0.78
837,0.78
371,0.789
313,0.792
331,0.792
332,0.792
334,0.792
337,0.792
350,0.792
355,0.792
370,0.792
373,0.792
375,0.792
377,0.792
379,0.792
422,0.792
452,0.792
460,0.792
461,0.792
462,0.792
463,0.792
555,0.792
580,0.792
581,0.792
582,0.792
583,0.792
600,0.792
601,0.792
605,0.792
650,0.792
651,0.792
652,0.792
653,0.792
644,0.792
657,0.792
658,0.792
712,0.792
729,0.792
731,0.792
762,0.792
911,0.792
912,0.792
915,0.792
922,0.792
924,0.792
927,0.792
928,0.792
929,0.792
931,0.792
970,0.792
971,0.792
972,0.792
973,0.792
974,0.792
975,0.792
976,0.792
992,0.792
73,0.8
813,0.811
833,0.811
834,0.811
310,0.841
311,0.841
314,0.841
318,0.841
320,0.841
323,0.841
690,0.841
691,0.841
693,0.841
694,0.841
621,0.852
602,0.872
108,0.883
111,0.922
121,0.922
372,0.932
450,0.932
491,0.932
510,0.932
513,0.932
521,0.932
550,0.932
551,0.932
552,0.932
571,0.932
591,0.932
680,0.932
681,0.932
682,0.932
683,0.932
800,0.932
858,0.932
901,0.932
977,0.932
541,0.936
543,0.936
544,0.936
545,0.936
546,0.936
548,0.936
549,0.936
221,0.952
222,0.952
223,0.952
312,0.964
330,0.964
333,0.964
352,0.964
353,0.964
361,0.964
362,0.964
363,0.964
374,0.964
378,0.964
431,0.964
492,0.964
511,0.964
542,0.964
547,0.964
603,0.964
604,0.964
606,0.964
631,0.964
661,0.964
730,0.964
732,0.964
768,0.964
981,0.964
107,1.011
115,1.011
123,1.011
126,1.011
128,1.011
130,1.011
132,1.011
